date,trt,plot,subplot,row,leaf,Obs,HHMMSS,FTime (s),Photo (μmol/m^2/s),Cond (mol/m^2/s),Ci (μmol/mol),Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark (μmol/m^2/s),RedAbs,BlueAbs,%Blue (percent),LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs (μmol/m^2/s),PS2/1,ETR (μmol/m^2/s),Trmmol (mmol/m^2/s),VpdL (kPa),Area (cm^2),StmRat,BLCond,Tair (°C),Tleaf (°C),TBlk (°C),CO2R (μmol/mol),CO2S (μmol/mol),H2OR (μmol/mol),H2OS (μmol/mol),RH_R (percent),RH_S (percent),Flow (μmol/s),PARi (μmol/m^2/s),PARo (μmol/m^2/s),Press (kPa),CsMch (μmol/mol),HsMch (mmol/mol),StableF,Status
7/19/05,low,1,B,3,14,1,14:31:07,702,46.6,0.319,128,0,0,367.9,624.1,467.4,0,0.411,0.251,-4,0.85,0.85,10,0.85,0.03,0.612,1.696,-1,1999.0,0.5,213.34,6.45,1.99,2,1,9.29,31.94,33.23,31.03,400.94,376.43,28.49,31.614,59.34,65.85,400.0,1999.0,877.0,99.11,5.85,-0.61,0.2,111115
7/19/05,low,1,B,3,14,2,14:41:50,1344,40.8,0.363,88.3,0,0,360,582.2,451.6,0,0.382,0.224,-4,0.85,0.85,10,0.85,0.026,0.588,1.617,-1,2002.0,0.5,190.836,6.69,1.81,2,1,9.29,31.97,33.17,31.03,300.63,279.32,29.916,33.15,62.18,68.9,400.0,2002.0,591.0,99.1,5.3,-0.698,0.2,111115
7/19/05,low,1,B,3,14,3,14:52:36,1990,31.3,0.43,59.3,0,0,354,529.5,437.2,0,0.332,0.174,-4,0.85,0.85,10,0.85,0.021,0.526,1.496,-1,1998.2,0.5,148.114,7.39,1.71,2,1,9.29,31.93,32.79,31.03,200.24,183.91,29.586,33.157,61.66,69.1,399.9,1998.0,552.0,99.1,4.61,-0.731,0.5,111115
7/19/05,low,1,B,3,14,4,15:03:19,2633,17.2,0.494,30.8,0,0,355.1,473.6,426.5,0,0.25,0.099,-4,0.85,0.85,10,0.85,0.012,0.397,1.334,-1,2000.3,0.5,84.541,8.08,1.64,2,1,9.29,32.04,32.82,31.03,99.54,90.59,30.067,33.973,62.26,70.35,399.9,2000.0,871.0,99.09,3.86,-0.771,0.5,111115
7/19/05,low,1,B,3,14,5,15:14:02,3276,47.9,0.421,178,0,0,370.2,629.2,473.9,0,0.412,0.247,-4,0.85,0.85,10,0.85,0.031,0.6,1.7,-1,1999.8,0.5,209.836,7.34,1.73,2,1,9.29,32.07,33.3,31.02,399.94,374.63,30.894,34.436,63.85,71.17,400.0,2000.0,844.0,99.08,5.92,-0.698,0.5,111115
7/19/05,low,1,B,3,14,6,15:24:42,3917,44.7,0.284,110,0,0,363.2,591.8,450.3,0,0.386,0.239,-4,0.85,0.85,10,0.85,0.029,0.619,1.63,-1,1998.5,0.5,203.16,5.59,1.92,2,1,9.29,32.31,34.66,31.03,399.38,375.95,33.932,36.626,69.16,74.65,400.0,1999.0,832.0,99.08,6.05,-0.711,0.2,111115
7/19/05,low,1,B,3,14,7,15:35:23,4557,47.6,0.185,142,0,0,365.8,600.2,454.4,0,0.39,0.243,-4,0.85,0.85,10,0.85,0.03,0.622,1.641,-1,2001.2,0.5,206.567,4.08,2.12,2,1,9.29,32.42,35.64,31.03,599.16,574.17,35.644,37.609,72.23,76.21,399.9,2001.0,783.0,99.09,6.82,-0.655,0.2,111115
7/19/05,low,1,B,3,14,8,15:46:30,5224,50,0.13,230,0,0,369.7,618.4,464.2,0,0.402,0.249,-4,0.85,0.85,10,0.85,0.032,0.62,1.672,-1,2001.7,0.5,212.028,3.17,2.33,2,1,9.29,32.16,35.36,31.02,900.86,874.46,33.071,34.602,67.98,71.13,399.9,2002.0,513.0,99.07,7.06,-0.536,0.2,111115
7/19/05,no,2,B,2,12,1,12:44:43,674,47.7,0.311,114,0,0,367.8,632,467.9,0,0.418,0.26,-4,0.85,0.85,10,0.85,0.03,0.621,1.718,-1,1998.8,0.5,220.632,6.04,1.91,2,1,9.29,32.11,33.79,31.03,399.55,374.57,31.089,34.006,64.2,70.23,400.0,1999.0,1008.0,99.23,6.03,-0.681,0.8,111115
7/19/05,no,2,B,2,12,2,12:55:40,1331,43.1,0.398,93,0,0,362.2,598.8,454.5,0,0.395,0.241,-4,0.85,0.85,10,0.85,0.028,0.61,1.653,-1,2001.0,0.5,204.97,7.06,1.76,2,1,9.29,32.19,33.59,31.03,300.77,278.23,31.532,34.938,64.82,71.83,400.0,2001.0,1031.0,99.22,5.49,-0.714,0.2,111115
