cultivar,year,exp,Tset (°C),plot,N (g/m^2),N_pcnt,SPAD,Amax (μmol/m^2/s),SLA (cm^2/g)
KM,2011,CO2,15,.,0.118,0.397,,0.917,335.59
JM,2012,FLD,25,red,3.263756768,2.991,56.0,,91.64285861
JM,2012,FLD,25,red,2.158378765,1.978,48.7,19.2,91.64285861
JM,2012,FLD,25,red,2.050350708,1.879,36.7,,91.64285861
JM,2012,FLD,25,red,1.594232243,1.461,29.8,,91.64285861
JM,2012,FLD,25,red,2.043803553,1.873,41.9,,91.64285861
JM,2012,FLD,25,red,2.637412273,2.417,53.5,18.8,91.64285861
JM,2012,FLD,25,white,2.210983326,2.269,48.1,,102.6240213
JM,2012,FLD,25,white,2.81805367,2.892,61.9,,102.6240213
JM,2012,FLD,25,white,2.865800776,2.941,66.7,,102.6240213
JM,2012,FLD,25,yellow,2.898507339,2.76,55.2,,95.22142527
JM,2012,FLD,25,yellow,2.946815795,2.806,44.2,,95.22142527
JM,2012,FLD,25,yellow,2.667466899,2.54,48.3,24.75,95.22142527
JM,2012,FLD,25,yellow,3.184157338,3.032,52.7,16.55,95.22142527
JM,2012,FLD,25,yellow,2.787187855,2.654,41.7,,95.22142527
JM,2012,FLD,25,red,2.050350708,1.879,51.5,,91.64285861
JM,2012,FLD,25,white,2.215855479,2.274,57.3,,102.6240213
JM,2012,FLD,25,white,1.911833092,1.962,54.2,14.9,102.6240213
JM,2012,FLD,25,white,1.925475122,1.976,58.0,,102.6240213
JM,2012,FLD,25,red,2.250038935,2.062,53.3,,91.64285861
JM,2012,FLD,25,red,2.0950896,1.92,57.6,19.1,91.64285861
JM,2012,FLD,25,white,1.96250349,2.014,32.1,6.75,102.6240213
JM,2012,FLD,25,white,2.332787167,2.394,41.3,7.955,102.6240213
JM,2012,FLD,25,white,1.372972898,1.409,18.5,6.255,102.6240213
JM,2012,FLD,25,yellow,1.796864514,1.711,31.7,9.03,95.22142527
JM,2012,FLD,25,yellow,1.987997969,1.893,34.8,4.465,95.22142527
JM,2012,FLD,25,white,1.328149085,1.363,27.5,7.085,102.6240213
JM,2012,FLD,25,red,1.927045955,1.766,36.5,6.26,91.64285861
JM,2012,FLD,25,red,1.71098984,1.568,30.0,7.325,91.64285861
JM,2012,FLD,25,white,1.60293855,1.645,17.6,,102.6240213
JM,2012,FLD,25,yellow,1.555322235,1.481,23.1,,95.22142527
JM,2012,FLD,25,red,1.476383453,1.353,31.7,,91.64285861
JM,2012,FLD,25,red,1.781917353,1.633,44.0,9.145,91.64285861
JM,2012,FLD,25,red,2.301324983,2.109,44.0,,91.64285861
JM,2012,FLD,25,white,2.584190295,2.652,50.1,,102.6240213
JM,2012,FLD,25,white,2.621218663,2.69,50.2,,102.6240213
JM,2012,FLD,25,red,2.115822258,1.939,36.7,,91.64285861
JM,2012,FLD,25,red,2.478098168,2.271,49.1,,91.64285861
KM,2011,CO2,15,.,0.220089907,0.397,,0.917,165.943973
KM,2011,CO2,35,.,0.344826,0.622,,2.96,180.3808299
KM,2011,CO2,15,.,0.659715337,1.19,,4.9,173.265137
KM,2011,CO2,15,.,0.76338489,1.377,,5.67,165.943973
KM,2011,CO2,25,.,0.76338489,1.377,,6.75,165.943973
KM,2011,CO2,35,.,0.76338489,1.377,,11,165.943973
KM,2011,CO2,35,.,0.807735501,1.457,,2.23,173.265137
KM,2011,CO2,25,.,0.888120983,1.602,,9.05,198.0294545
KM,2011,CO2,15,.,0.952429369,1.718,,6.89,165.943973
KM,2011,CO2,25,.,0.952429369,1.718,,10.6,165.943973
KM,2011,CO2,35,.,0.952429369,1.718,,10.5,165.943973
KM,2011,CO2,15,.,0.996225597,1.797,,11.4,198.0294545
KM,2011,CO2,25,.,0.996225597,1.797,,14.6,198.0294545
KM,2011,CO2,35,.,0.996225597,1.797,,13.9,198.0294545
KM,2011,CO2,15,.,1.040021826,1.876,,8.28,198.0294545
KM,2011,CO2,25,.,1.040021826,1.876,,10.9,198.0294545
KM,2011,CO2,35,.,1.040021826,1.876,,14.9,198.0294545
KM,2011,CO2,25,.,1.076056697,1.941,,6.44,165.943973
KM,2011,CO2,35,.,1.076056697,1.941,,10.6,165.943973
KM,2011,CO2,15,.,1.115972247,2.013,,6.36,181.9167373
KM,2011,CO2,15,.,1.2196418,2.2,,13.1,186.9913879
KM,2011,CO2,15,.,1.222968095,2.206,,11.1,186.9913879
KM,2011,CO2,25,.,1.222968095,2.206,,13.8,186.9913879
KM,2011,CO2,15,.,1.231838218,2.222,,9.73,186.9913879
KM,2011,CO2,25,.,1.231838218,2.222,,11.7,186.9913879
KM,2011,CO2,35,.,1.231838218,2.222,,4.14,186.9913879
KM,2011,CO2,15,.,1.264546793,2.281,,5.91,165.943973
KM,2011,CO2,25,.,1.264546793,2.281,,7.56,165.943973
KM,2011,CO2,35,.,1.264546793,2.281,,9.24,165.943973
KM,2011,CO2,25,.,1.375977703,2.482,,8.64,181.9167373
KM,2011,CO2,15,.,1.454145655,2.623,,12.8,198.0294545
KM,2011,CO2,25,.,1.454145655,2.623,,12.27,198.0294545
KM,2011,CO2,35,.,1.472440282,2.656,,12.3,181.9167373
KM,2011,CO2,15,.,1.495724352,2.698,,5.82,173.265137
KM,2011,CO2,25,.,1.495724352,2.698,,9.42,173.265137
KM,2011,CO2,35,.,1.495724352,2.698,,9.5,173.265137
KM,2011,CO2,15,.,1.518454041,2.739,,15.5,181.9167373
KM,2011,CO2,25,.,1.518454041,2.739,,14.02,181.9167373
KM,2011,CO2,35,.,1.518454041,2.739,,14.4,181.9167373
KM,2011,CO2,15,.,1.542846877,2.783,,12.5,198.0294545
KM,2011,CO2,15,.,1.550608233,2.797,,10.1,173.265137
KM,2011,CO2,25,.,1.550608233,2.797,,8.83,173.265137
KM,2011,CO2,35,.,1.550608233,2.797,,8.65,173.265137
KM,2011,CO2,15,.,1.615471002,2.914,,6.53,198.0294545
KM,2011,CO2,25,.,1.615471002,2.914,,4.38,198.0294545
KM,2011,CO2,35,.,1.615471002,2.914,,4.73,198.0294545
KM,2011,CO2,15,.,1.711933581,3.088,,10.2,173.265137
KM,2011,CO2,25,.,1.711933581,3.088,,11.8,173.265137
KM,2011,CO2,15,.,1.882683433,3.396,,16.1,177.9031522
KM,2011,CO2,25,.,1.882683433,3.396,,11,177.9031522
KM,2011,CO2,15,.,2.068955998,3.732,,9.51,181.9167373
KM,2011,CO2,35,.,2.068955998,3.732,,7.26,181.9167373
